id,title,company,location,region,description,salary_min,salary_max,salary_is_predicted,contract_type,contract_time,category,created,redirect_url,query,collected_at
5808180266,Data Analyst,Express Solicitors,"Civic Centre, Wythenshawe",North West England,"Job Title: Data Analyst Location: Sharston, Manchester M22 4SN Salary: £40,000 - £45,000 per annum Job type: Full Time, Permanent About Us: Established in 2000, Express Solicitors is an award‑winning, no win no fee law firm specialising exclusively in personal injury claims. Headquartered in Manchester, we support clients nationwide across all areas of personal injury, including employers' liability, serious injury, clinical negligence, occupiers' and public liability, road traffic accidents an…",40000.0,45000.0,0,permanent,full_time,IT Jobs,2026-07-20T16:01:42Z,https://www.adzuna.co.uk/jobs/details/5808180266?utm_medium=api&utm_source=68afd3e1,data analyst,2026-08-01T13:27:42.991643+00:00
5808291874,Data Analyst,Express Solicitors,"Manchester, Greater Manchester",North West England,"Job Title: Data Analyst Location: Sharston, Manchester M22 4SN Salary : £40,000 - £45,000 per annum Job type: Full Time, Permanent About Us: Established in 2000, Express Solicitors is an award-winning, no win no fee law firm specialising exclusively in personal injury claims. Headquartered in Manchester, we support clients nationwide across all areas of personal injury, including employers' liability, serious injury, clinical negligence, occupiers' and public liability, road traffic accidents a…",40000.0,45000.0,0,permanent,full_time,IT Jobs,2026-07-20T18:10:23Z,https://www.adzuna.co.uk/jobs/details/5808291874?utm_medium=api&utm_source=68afd3e1,data analyst,2026-08-01T13:27:42.991649+00:00
5821005098,Data Analyst,JIYU People Ltd,"Westmead, Swindon",South West England,"Salary: £40,000 - 50,000 per year Requirements: Advanced Excel skills and confidence working with complex datasets Experience creating dashboards and visual reports Knowledge of Power BI Knowledge of Jet is a plus Knowledge of data warehouse environments A collaborative approach and the ability to translate business needs into technical solutions Responsibilities: Extract, transform, and validate data Create engaging visual dashboards in Power BI to help teams make more informed decisions Work …",40000.0,50000.0,0,,full_time,IT Jobs,2026-07-30T11:33:42Z,https://www.adzuna.co.uk/jobs/details/5821005098?utm_medium=api&utm_source=68afd3e1,data analyst,2026-08-01T13:27:42.991654+00:00
5785359517,Data Analyst,The Progeny Group Limited,"Leeds, West Yorkshire",Yorkshire And The Humber,"The Opportunity We are looking for a Data Analyst to join a growing, forward-thinking organisation where data sits at the heart of decision-making. This is an exciting opportunity to work within a modern, cloud-based data environment, helping to turn complex data into meaningful insight that drives business performance. You’ll play a key role in shaping how data, automation, and AI are used across the business—working with cutting-edge tools including Power BI and Microsoft Co-pilot technologie…",46877.58,46877.58,1,,full_time,IT Jobs,2026-07-02T12:27:20Z,https://www.adzuna.co.uk/jobs/details/5785359517?utm_medium=api&utm_source=68afd3e1,data analyst,2026-08-01T13:27:42.991660+00:00
5817554133,Data Analyst,OnetoOne Personnel,"Southend-On-Sea, Essex",Eastern England,"Data Analyst | Southend | 17.5 hours per week | Up to £37,035 Pro Rata The Role My client is currently seeking an experienced Data Analyst to join their team, providing accurate and insightful data analysis to support operational and strategic decision-making. Working closely with the Data Manager, you'll help manage and improve data within a Salesforce-based CRM, ensuring reporting is accurate, audit-ready and compliant with regulatory standards, while driving continuous improvements in data q…",33365.0,37035.0,0,permanent,part_time,IT Jobs,2026-07-27T18:44:43Z,https://www.adzuna.co.uk/jobs/details/5817554133?utm_medium=api&utm_source=68afd3e1,data analyst,2026-08-01T13:27:42.991665+00:00
5210489672,Data Analyst,idfc first bank,UK,UK,"Role/Job Title: Data Analyst - HPE Business : New Age Function/ Department: HPE -Data & Analytics Place of work: Mumbai Roles & Responsibilities Identify and scope business requirements and priorities through rigorous information gathering and analysis as well as clarification of the solutions, initiatives and program to enable effective delivery. Design analytics techniques to meet current and future business needs. Robust understanding of data and fields required or analysis. Understanding of…",37006.62,37006.62,1,,full_time,IT Jobs,2025-05-22T08:55:30Z,https://www.adzuna.co.uk/jobs/details/5210489672?utm_medium=api&utm_source=68afd3e1,data analyst,2026-08-01T13:27:42.991670+00:00
5210480071,Data Analyst,wipro,UK,UK,"Role Title Data Analyst Reports To Project Manager/ Database Lead Direct Reports NA Indirect Reports (Upto N-2) NA Role Purpose The purpose of this role is to interpret data and turn intoinformation (reports, dashboards, interactive visualizations etc) whichcan offer ways to improve a business, thus affecting business decisions. Do Primary role is to Create customized dashboards for Mapping PgMs/leads on requirement basis, Analyze trends in data and create reports around them, Suggest FRs in ma…",35895.91,35895.91,1,,full_time,IT Jobs,2025-05-22T08:54:18Z,https://www.adzuna.co.uk/jobs/details/5210480071?utm_medium=api&utm_source=68afd3e1,data analyst,2026-08-01T13:27:42.991676+00:00
5822552201,Data Analyst,Hays Technology,"Crownhill, Milton Keynes",South East England,"Data AnalystLocation: Milton Keynes (Hybrid, minimum 2 days onsite) We're looking for an experienced Data Analyst to join a growing data team, supporting the development of modern data solutions, reporting capabilities, and analytics across a large-scale Azure data platform. The role combines data modelling, reporting, and hands-on data engineering work within a cloud-based environment. Key Responsibilities Design and develop data models, schemas, KPIs, measures, calculations, and critical data…",9100.0,130000.0,0,contract,,IT Jobs,2026-07-31T17:13:32Z,https://www.adzuna.co.uk/jobs/details/5822552201?utm_medium=api&utm_source=68afd3e1,data analyst,2026-08-01T13:27:42.991681+00:00
5822594255,Data Analyst,Hays Specialist Recruitment Limited,"Milton Keynes, Buckinghamshire",South East England,"Data AnalystLocation: Milton Keynes (Hybrid, minimum 2 days onsite) We're looking for an experienced Data Analyst to join a growing data team, supporting the development of modern data solutions, reporting capabilities, and analytics across a large-scale Azure data platform. The role combines data modelling, reporting, and hands-on data engineering work within a cloud-based environment. Key Responsibilities Design and develop data models, schemas, KPIs, measures, calculations, and critical data…",130000.0,130000.0,0,permanent,,IT Jobs,2026-07-31T19:06:54Z,https://www.adzuna.co.uk/jobs/details/5822594255?utm_medium=api&utm_source=68afd3e1,data analyst,2026-08-01T13:27:42.991686+00:00
4094618894,Data Analyst,Brakes Group,UK,UK,"Data Analyst Sysco International Remote - UK or Ireland Based ​​​​​​​ The Data Analyst role will work closely with Sysco International Site/BT teams to gather, analyse, cleanse and standardize all sources of master data as needed within Site/Global initiatives in an effort to improve the quality of Sysco’s data and drive harmonization. Positioned within the Sysco International Merchandising structure, you will be working alongside other Sysco International teams as well as functions within Sysc…",43417.32,43417.32,1,,,IT Jobs,2023-05-11T21:03:34Z,https://www.adzuna.co.uk/jobs/details/4094618894?utm_medium=api&utm_source=68afd3e1,data analyst,2026-08-01T13:27:42.991691+00:00
5823453576,Data Analyst,Warner Bros. Discovery,"Farringdon, Central London",London,"Welcome to Warner Bros. Discovery… the stuff dreams are made of. Who We Are… When we say, “the stuff dreams are made of,” we’re not just referring to the world of wizards, dragons and superheroes, or even to the wonders of Planet Earth. Behind WBD’s vast portfolio of iconic content and beloved brands, are the storytellers bringing our characters to life, the creators bringing them to your living rooms and the dreamers creating what’s next… From brilliant creatives, to technology trailblazers, a…",44965.02,44965.02,1,,full_time,IT Jobs,2026-08-01T07:13:44Z,https://www.adzuna.co.uk/jobs/details/5823453576?utm_medium=api&utm_source=68afd3e1,data analyst,2026-08-01T13:27:42.991696+00:00
